Zip,Zip Code Type,City,state,county,area_codes,Latitude,Longitude,Population
61525,STANDARD,Dunlap,IL,Peoria County,309,40.86,-89.67,8060
61526,STANDARD,Edelstein,IL,Peoria County,309,40.97,-89.58,1022
61528,STANDARD,Edwards,IL,Peoria County,309,40.75,-89.71,2369
61529,STANDARD,Elmwood,IL,Peoria County,309,40.77,-89.96,2501
61530,STANDARD,Eureka,IL,Woodford County,309,40.71,-89.27,5354
61531,STANDARD,Farmington,IL,Fulton County,309,40.69,-90,2898
61532,STANDARD,Forest City,IL,Mason County,309,40.37,-89.83,0
61533,STANDARD,Glasford,IL,Peoria County,309,40.57,-89.81,2187
61534,STANDARD,Green Valley,IL,Tazewell County,309,40.4,-89.64,1543
61535,STANDARD,Groveland,IL,Tazewell County,309,40.61,-89.52,1536
61536,STANDARD,Hanna City,IL,Peoria County,309,40.69,-89.79,2753
61537,STANDARD,Henry,IL,Marshall County,309,41.11,-89.36,2493
61540,STANDARD,Lacon,IL,Marshall County,309,41.02,-89.4,2524
61542,STANDARD,Lewistown,IL,Fulton County,309,40.39,-90.15,3084
61544,STANDARD,London Mills,IL,Fulton County,309,40.71,-90.26,713
61545,STANDARD,Lowpoint,IL,Woodford County,309,40.87,-89.38,582
61546,STANDARD,Manito,IL,Mason County,309,40.42,-89.78,3744
61547,STANDARD,Mapleton,IL,Peoria County,309,40.56,-89.72,3400
61548,STANDARD,Metamora,IL,Woodford County,309,40.79,-89.36,10670
61550,STANDARD,Morton,IL,Tazewell County,309,40.61,-89.46,15680
61554,STANDARD,Pekin,IL,Tazewell County,309,40.56,-89.62,35550
61559,STANDARD,Princeville,IL,Peoria County,309,40.93,-89.75,2968
61560,STANDARD,Putnam,IL,Putnam County,815,41.18,-89.4,619
61561,STANDARD,Roanoke,IL,Woodford County,309,40.79,-89.2,2407
61565,STANDARD,Sparland,IL,Marshall County,309,41.03,-89.44,1334
61567,STANDARD,Topeka,IL,Mason County,309,40.32,-89.93,608
61568,STANDARD,Tremont,IL,Tazewell County,309,40.52,-89.49,4000
61569,STANDARD,Trivoli,IL,Peoria County,309,40.69,-89.88,1099
61570,STANDARD,Washburn,IL,Woodford County,309,40.92,-89.29,1572
61571,STANDARD,Washington,IL,Tazewell County,309,40.69,-89.43,20715
61572,STANDARD,Yates City,IL,Knox County,309,40.77,-90.01,934
61602,STANDARD,Peoria,IL,Peoria County,309,40.74,-89.6,782
